region,RRm_sem_1.5C_rcp85_time-mean_ensemble-diff-max,ci_name,ci_frequency,standard_name,units,mid_month
03359_Stade,0.5453236103057861,RRm,sem,precipitation,mm day-1,4
03359_Stade,0.6417732238769531,RRm,sem,precipitation,mm day-1,7
03359_Stade,0.47071385383605957,RRm,sem,precipitation,mm day-1,10
03360_Uelzen,0.358856201171875,RRm,sem,precipitation,mm day-1,1
03360_Uelzen,0.42589330673217773,RRm,sem,precipitation,mm day-1,4
03360_Uelzen,0.5099706649780273,RRm,sem,precipitation,mm day-1,7
03360_Uelzen,0.37235796451568604,RRm,sem,precipitation,mm day-1,10
03361_Verden,0.3364522457122803,RRm,sem,precipitation,mm day-1,1
03361_Verden,0.4373908042907715,RRm,sem,precipitation,mm day-1,4
03361_Verden,0.6413381099700928,RRm,sem,precipitation,mm day-1,7
03361_Verden,0.3603247404098511,RRm,sem,precipitation,mm day-1,10
03401_03458_04011_03251_03461_Region_um_Delmenhorst,0.3293952941894531,RRm,sem,precipitation,mm day-1,1
03401_03458_04011_03251_03461_Region_um_Delmenhorst,0.4421062469482422,RRm,sem,precipitation,mm day-1,4
03401_03458_04011_03251_03461_Region_um_Delmenhorst,0.5135433673858643,RRm,sem,precipitation,mm day-1,7
03401_03458_04011_03251_03461_Region_um_Delmenhorst,0.34115076065063477,RRm,sem,precipitation,mm day-1,10
03401_Delmenhorst,0.3637402057647705,RRm,sem,precipitation,mm day-1,1
03401_Delmenhorst,0.44054627418518066,RRm,sem,precipitation,mm day-1,4
03401_Delmenhorst,0.5726828575134277,RRm,sem,precipitation,mm day-1,7
03401_Delmenhorst,0.32290005683898926,RRm,sem,precipitation,mm day-1,10
03402_03452_03457_Region_um_Emden,0.39179956912994385,RRm,sem,precipitation,mm day-1,1
03402_03452_03457_Region_um_Emden,0.5592203140258789,RRm,sem,precipitation,mm day-1,4
03402_03452_03457_Region_um_Emden,0.4528388977050781,RRm,sem,precipitation,mm day-1,7
03402_03452_03457_Region_um_Emden,0.7557492256164551,RRm,sem,precipitation,mm day-1,10
03402_Emden,0.4882984161376953,RRm,sem,precipitation,mm day-1,1
03402_Emden,0.5419270992279053,RRm,sem,precipitation,mm day-1,4
03402_Emden,0.5025820732116699,RRm,sem,precipitation,mm day-1,7
03402_Emden,1.1627521514892578,RRm,sem,precipitation,mm day-1,10
03403_03458_03451_03461_Region_um_Oldenburg_(Oldenburg),0.3531508445739746,RRm,sem,precipitation,mm day-1,1
03403_03458_03451_03461_Region_um_Oldenburg_(Oldenburg),0.49980616569519043,RRm,sem,precipitation,mm day-1,4
03403_03458_03451_03461_Region_um_Oldenburg_(Oldenburg),0.5356099605560303,RRm,sem,precipitation,mm day-1,7
03403_03458_03451_03461_Region_um_Oldenburg_(Oldenburg),0.37757277488708496,RRm,sem,precipitation,mm day-1,10
03403_Oldenburg (Oldb),0.3668947219848633,RRm,sem,precipitation,mm day-1,1
03403_Oldenburg (Oldb),0.5066485404968262,RRm,sem,precipitation,mm day-1,4
03403_Oldenburg (Oldb),0.5301840305328369,RRm,sem,precipitation,mm day-1,7
03403_Oldenburg (Oldb),0.36850953102111816,RRm,sem,precipitation,mm day-1,10
03404_03459_05566_Region_um_Osnabrück,0.36888957023620605,RRm,sem,precipitation,mm day-1,1
03404_03459_05566_Region_um_Osnabrück,0.4192619323730469,RRm,sem,precipitation,mm day-1,4
03404_03459_05566_Region_um_Osnabrück,0.5176506042480469,RRm,sem,precipitation,mm day-1,7
03404_03459_05566_Region_um_Osnabrück,0.31801867485046387,RRm,sem,precipitation,mm day-1,10
03404_Osnabrück,0.3658241033554077,RRm,sem,precipitation,mm day-1,1
03404_Osnabrück,0.4623255729675293,RRm,sem,precipitation,mm day-1,4
03404_Osnabrück,0.4899482727050781,RRm,sem,precipitation,mm day-1,7
03404_Osnabrück,0.34998273849487305,RRm,sem,precipitation,mm day-1,10
03405_03455_Region_um_Wilhelmshaven,0.382859468460083,RRm,sem,precipitation,mm day-1,1
03405_03455_Region_um_Wilhelmshaven,0.5767354965209961,RRm,sem,precipitation,mm day-1,4
03405_03455_Region_um_Wilhelmshaven,0.5300805568695068,RRm,sem,precipitation,mm day-1,7
03405_03455_Region_um_Wilhelmshaven,0.5247352123260498,RRm,sem,precipitation,mm day-1,10
03405_Wilhelmshaven,0.5168123245239258,RRm,sem,precipitation,mm day-1,1
03405_Wilhelmshaven,0.565608024597168,RRm,sem,precipitation,mm day-1,4
03405_Wilhelmshaven,0.5231409072875977,RRm,sem,precipitation,mm day-1,7
03405_Wilhelmshaven,0.8883376121520996,RRm,sem,precipitation,mm day-1,10
03451_Ammerland,0.36386728286743164,RRm,sem,precipitation,mm day-1,1
03451_Ammerland,0.5370910167694092,RRm,sem,precipitation,mm day-1,4
03451_Ammerland,0.526353120803833,RRm,sem,precipitation,mm day-1,7
03451_Ammerland,0.366652250289917,RRm,sem,precipitation,mm day-1,10
03452_Aurich,0.4222615957260132,RRm,sem,precipitation,mm day-1,1
03452_Aurich,0.5720875263214111,RRm,sem,precipitation,mm day-1,4
03452_Aurich,0.4580674171447754,RRm,sem,precipitation,mm day-1,7
03452_Aurich,1.0105619430541992,RRm,sem,precipitation,mm day-1,10
03453_Cloppenburg,0.3422996997833252,RRm,sem,precipitation,mm day-1,1
