region,RRm_sem_1.5C_rcp85_time-mean_ensemble-diff-min,ci_name,ci_frequency,standard_name,units,mid_month
03401_03458_04011_03251_03461_Region_um_Delmenhorst,-0.25108206272125244,RRm,sem,precipitation,mm day-1,4
03401_03458_04011_03251_03461_Region_um_Delmenhorst,-0.29324424266815186,RRm,sem,precipitation,mm day-1,7
03401_03458_04011_03251_03461_Region_um_Delmenhorst,-0.31079399585723877,RRm,sem,precipitation,mm day-1,10
03401_Delmenhorst,-0.3946192264556885,RRm,sem,precipitation,mm day-1,1
03401_Delmenhorst,-0.2818254232406616,RRm,sem,precipitation,mm day-1,4
03401_Delmenhorst,-0.35149478912353516,RRm,sem,precipitation,mm day-1,7
03401_Delmenhorst,-0.28311288356781006,RRm,sem,precipitation,mm day-1,10
03402_03452_03457_Region_um_Emden,-0.45354771614074707,RRm,sem,precipitation,mm day-1,1
03402_03452_03457_Region_um_Emden,-0.28075873851776123,RRm,sem,precipitation,mm day-1,4
03402_03452_03457_Region_um_Emden,-0.3568239212036133,RRm,sem,precipitation,mm day-1,7
03402_03452_03457_Region_um_Emden,-0.2971036434173584,RRm,sem,precipitation,mm day-1,10
03402_Emden,-0.4762578010559082,RRm,sem,precipitation,mm day-1,1
03402_Emden,-0.29817211627960205,RRm,sem,precipitation,mm day-1,4
03402_Emden,-0.3714258670806885,RRm,sem,precipitation,mm day-1,7
03402_Emden,-0.2993417978286743,RRm,sem,precipitation,mm day-1,10
03403_03458_03451_03461_Region_um_Oldenburg_(Oldenburg),-0.402587890625,RRm,sem,precipitation,mm day-1,1
03403_03458_03451_03461_Region_um_Oldenburg_(Oldenburg),-0.2629777193069458,RRm,sem,precipitation,mm day-1,4
03403_03458_03451_03461_Region_um_Oldenburg_(Oldenburg),-0.3007667064666748,RRm,sem,precipitation,mm day-1,7
03403_03458_03451_03461_Region_um_Oldenburg_(Oldenburg),-0.26989614963531494,RRm,sem,precipitation,mm day-1,10
03403_Oldenburg (Oldb),-0.39574575424194336,RRm,sem,precipitation,mm day-1,1
03403_Oldenburg (Oldb),-0.2834275960922241,RRm,sem,precipitation,mm day-1,4
03403_Oldenburg (Oldb),-0.35564732551574707,RRm,sem,precipitation,mm day-1,7
03403_Oldenburg (Oldb),-0.2787330150604248,RRm,sem,precipitation,mm day-1,10
03404_03459_05566_Region_um_Osnabrück,-0.44919610023498535,RRm,sem,precipitation,mm day-1,1
03404_03459_05566_Region_um_Osnabrück,-0.21346771717071533,RRm,sem,precipitation,mm day-1,4
03404_03459_05566_Region_um_Osnabrück,-0.3974447250366211,RRm,sem,precipitation,mm day-1,7
03404_03459_05566_Region_um_Osnabrück,-0.44561028480529785,RRm,sem,precipitation,mm day-1,10
03404_Osnabrück,-0.4945518970489502,RRm,sem,precipitation,mm day-1,1
03404_Osnabrück,-0.2224423885345459,RRm,sem,precipitation,mm day-1,4
03404_Osnabrück,-0.46483683586120605,RRm,sem,precipitation,mm day-1,7
03404_Osnabrück,-0.4739314317703247,RRm,sem,precipitation,mm day-1,10
03405_03455_Region_um_Wilhelmshaven,-0.5196914672851562,RRm,sem,precipitation,mm day-1,1
03405_03455_Region_um_Wilhelmshaven,-0.2408355474472046,RRm,sem,precipitation,mm day-1,4
03405_03455_Region_um_Wilhelmshaven,-0.3051033020019531,RRm,sem,precipitation,mm day-1,7
03405_03455_Region_um_Wilhelmshaven,-0.28676366806030273,RRm,sem,precipitation,mm day-1,10
03405_Wilhelmshaven,-0.5299034118652344,RRm,sem,precipitation,mm day-1,1
03405_Wilhelmshaven,-0.2035750150680542,RRm,sem,precipitation,mm day-1,4
03405_Wilhelmshaven,-0.30048155784606934,RRm,sem,precipitation,mm day-1,7
03405_Wilhelmshaven,-0.28174686431884766,RRm,sem,precipitation,mm day-1,10
03451_Ammerland,-0.4223778247833252,RRm,sem,precipitation,mm day-1,1
03451_Ammerland,-0.2751880884170532,RRm,sem,precipitation,mm day-1,4
03451_Ammerland,-0.35315775871276855,RRm,sem,precipitation,mm day-1,7
03451_Ammerland,-0.27954161167144775,RRm,sem,precipitation,mm day-1,10
03452_Aurich,-0.4920966625213623,RRm,sem,precipitation,mm day-1,1
03452_Aurich,-0.27799880504608154,RRm,sem,precipitation,mm day-1,4
03452_Aurich,-0.40395164489746094,RRm,sem,precipitation,mm day-1,7
03452_Aurich,-0.3253927230834961,RRm,sem,precipitation,mm day-1,10
03453_Cloppenburg,-0.3521728515625,RRm,sem,precipitation,mm day-1,1
03453_Cloppenburg,-0.26928699016571045,RRm,sem,precipitation,mm day-1,4
03453_Cloppenburg,-0.337674617767334,RRm,sem,precipitation,mm day-1,7
03453_Cloppenburg,-0.33502066135406494,RRm,sem,precipitation,mm day-1,10
03454_Emsland,-0.37543559074401855,RRm,sem,precipitation,mm day-1,1
03454_Emsland,-0.2591240406036377,RRm,sem,precipitation,mm day-1,4
03454_Emsland,-0.36038148403167725,RRm,sem,precipitation,mm day-1,7
03454_Emsland,-0.3817708492279053,RRm,sem,precipitation,mm day-1,10
03455_Friesland,-0.517892599105835,RRm,sem,precipitation,mm day-1,1
03455_Friesland,-0.2473996877670288,RRm,sem,precipitation,mm day-1,4
03455_Friesland,-0.30985450744628906,RRm,sem,precipitation,mm day-1,7
03455_Friesland,-0.287647008895874,RRm,sem,precipitation,mm day-1,10
03456_Grafschaft Bentheim,-0.3798956871032715,RRm,sem,precipitation,mm day-1,1
03456_Grafschaft Bentheim,-0.23076534271240234,RRm,sem,precipitation,mm day-1,4
03456_Grafschaft Bentheim,-0.38069283962249756,RRm,sem,precipitation,mm day-1,7
03456_Grafschaft Bentheim,-0.3742018938064575,RRm,sem,precipitation,mm day-1,10
03457_Leer,-0.42076587677001953,RRm,sem,precipitation,mm day-1,1
03457_Leer,-0.2823154926300049,RRm,sem,precipitation,mm day-1,4
03457_Leer,-0.2975442409515381,RRm,sem,precipitation,mm day-1,7
03457_Leer,-0.31171607971191406,RRm,sem,precipitation,mm day-1,10
03458_Oldenburg,-0.36997270584106445,RRm,sem,precipitation,mm day-1,1
03458_Oldenburg,-0.2718151807785034,RRm,sem,precipitation,mm day-1,4
03458_Oldenburg,-0.3050236701965332,RRm,sem,precipitation,mm day-1,7
03458_Oldenburg,-0.2980213165283203,RRm,sem,precipitation,mm day-1,10
03459_Osnabrück,-0.44454145431518555,RRm,sem,precipitation,mm day-1,1
03459_Osnabrück,-0.22829949855804443,RRm,sem,precipitation,mm day-1,4
