region,RRm_sem_3C_rcp85_time-mean_ensemble-diff-mean,ci_name,ci_frequency,standard_name,units,mid_month
03361_Verden,0.28144303,RRm,sem,precipitation,mm day-1,1
03361_Verden,0.1924033,RRm,sem,precipitation,mm day-1,4
03361_Verden,-0.010133145,RRm,sem,precipitation,mm day-1,7
03361_Verden,0.1283416,RRm,sem,precipitation,mm day-1,10
03401_03458_04011_03251_03461_Region_um_Delmenhorst,0.27390912,RRm,sem,precipitation,mm day-1,1
03401_03458_04011_03251_03461_Region_um_Delmenhorst,0.19412506,RRm,sem,precipitation,mm day-1,4
03401_03458_04011_03251_03461_Region_um_Delmenhorst,-0.033476442,RRm,sem,precipitation,mm day-1,7
03401_03458_04011_03251_03461_Region_um_Delmenhorst,0.12009589,RRm,sem,precipitation,mm day-1,10
03401_Delmenhorst,0.26807618,RRm,sem,precipitation,mm day-1,1
03401_Delmenhorst,0.1895142,RRm,sem,precipitation,mm day-1,4
03401_Delmenhorst,-0.034933437,RRm,sem,precipitation,mm day-1,7
03401_Delmenhorst,0.109292895,RRm,sem,precipitation,mm day-1,10
03402_03452_03457_Region_um_Emden,0.33430648,RRm,sem,precipitation,mm day-1,1
03402_03452_03457_Region_um_Emden,0.21518956,RRm,sem,precipitation,mm day-1,4
03402_03452_03457_Region_um_Emden,-0.05757403,RRm,sem,precipitation,mm day-1,7
03402_03452_03457_Region_um_Emden,0.19750082,RRm,sem,precipitation,mm day-1,10
03402_Emden,0.3747513,RRm,sem,precipitation,mm day-1,1
03402_Emden,0.22489628,RRm,sem,precipitation,mm day-1,4
03402_Emden,-0.04394408,RRm,sem,precipitation,mm day-1,7
03402_Emden,0.24792689,RRm,sem,precipitation,mm day-1,10
03403_03458_03451_03461_Region_um_Oldenburg_(Oldenburg),0.27401972,RRm,sem,precipitation,mm day-1,1
03403_03458_03451_03461_Region_um_Oldenburg_(Oldenburg),0.19903849,RRm,sem,precipitation,mm day-1,4
03403_03458_03451_03461_Region_um_Oldenburg_(Oldenburg),-0.042178657,RRm,sem,precipitation,mm day-1,7
03403_03458_03451_03461_Region_um_Oldenburg_(Oldenburg),0.12207433,RRm,sem,precipitation,mm day-1,10
03403_Oldenburg (Oldb),0.26335433,RRm,sem,precipitation,mm day-1,1
03403_Oldenburg (Oldb),0.1958516,RRm,sem,precipitation,mm day-1,4
03403_Oldenburg (Oldb),-0.0471234,RRm,sem,precipitation,mm day-1,7
03403_Oldenburg (Oldb),0.11195545,RRm,sem,precipitation,mm day-1,10
03404_03459_05566_Region_um_Osnabrück,0.2891669,RRm,sem,precipitation,mm day-1,1
03404_03459_05566_Region_um_Osnabrück,0.18778293,RRm,sem,precipitation,mm day-1,4
03404_03459_05566_Region_um_Osnabrück,-0.07112035,RRm,sem,precipitation,mm day-1,7
03404_03459_05566_Region_um_Osnabrück,0.10969194,RRm,sem,precipitation,mm day-1,10
03404_Osnabrück,0.28776804,RRm,sem,precipitation,mm day-1,1
03404_Osnabrück,0.18512008,RRm,sem,precipitation,mm day-1,4
03404_Osnabrück,-0.085610375,RRm,sem,precipitation,mm day-1,7
03404_Osnabrück,0.1036671,RRm,sem,precipitation,mm day-1,10
03405_03455_Region_um_Wilhelmshaven,0.29475394,RRm,sem,precipitation,mm day-1,1
03405_03455_Region_um_Wilhelmshaven,0.21455191,RRm,sem,precipitation,mm day-1,4
03405_03455_Region_um_Wilhelmshaven,-0.047065962,RRm,sem,precipitation,mm day-1,7
03405_03455_Region_um_Wilhelmshaven,0.15489957,RRm,sem,precipitation,mm day-1,10
03405_Wilhelmshaven,0.3438172,RRm,sem,precipitation,mm day-1,1
03405_Wilhelmshaven,0.23180729,RRm,sem,precipitation,mm day-1,4
03405_Wilhelmshaven,-0.013772283,RRm,sem,precipitation,mm day-1,7
