realization,region,TG_year_ref_time-mean,ci_name,ci_frequency,standard_name,units,mid_month
nan_GERICS_nan_nan_nan_nan_year_TG,05166_Viersen,283.4124,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,05170_Wesel,283.57803,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,05314_05382_Region_um_Bonn,282.89447,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,05314_Bonn,283.40793,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,05315_Köln,283.88492,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,05316_05315_05378_05158_Region_um_Leverkusen,283.23132,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,05316_Leverkusen,283.6484,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,05334_Städteregion Aachen,282.2177,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,05358_Düren,282.86127,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,05362_Rhein-Erft-Kreis,283.53998,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,05366_Euskirchen,281.58575,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,05370_Heinsberg,283.24246,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,05374_Oberbergischer Kreis,281.72476,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,05378_Rheinisch-Bergischer Kreis,282.56976,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,05382_Rhein-Sieg-Kreis,282.83014,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,05512_05119_05513_05113_05170_05562_Region_um_Bottrop,283.43573,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,05512_Bottrop,283.59265,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,05513_05113_05916_05911_05562_05512_Region_um_Gelsenkirchen,283.29593,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,05513_Gelsenkirchen,283.4248,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,05515_05566_05558_05570_Region_um_Münster,282.8114,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,05515_Münster,282.91882,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,05554_Borken,282.86655,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,05558_Coesfeld,282.87347,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,05562_Recklinghausen,283.20987,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,05566_Steinfurt,282.75742,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,05570_Warendorf,282.8076,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,05711_05754_05758_05766_Region_um_Bielefeld,282.4328,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,05711_Bielefeld,282.54324,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,05754_Gütersloh,282.676,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,05758_Herford,282.5584,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,05762_Höxter,281.77097,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,05766_Lippe,282.17468,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,05770_Minden-Lübbecke,282.62933,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,05774_Paderborn,281.9469,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,05911_05954_05913_05513_05113_05916_05562_Region_um_Bochum,283.1146,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,05911_Bochum,283.3487,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,05913_05914_05911_05916_05978_05954_05562_Region_um_Dortmund,283.0051,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,05913_Dortmund,283.21713,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,05914_05954_05913_05978_05962_Region_um_Hagen,282.30002,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,05914_Hagen,282.44052,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,05915_05978_05974_05570_05558_Region_um_Hamm,282.67325,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,05915_Hamm,282.952,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,05916_05513_05562_05911_Region_um_Herne,283.25784,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,05916_Herne,283.37607,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,05954_Ennepe-Ruhr-Kreis,282.54935,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,05958_Hochsauerlandkreis,280.6293,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,05962_Märkischer Kreis,281.5985,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,05966_Olpe,280.87943,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,05970_Siegen-Wittgenstein,280.65295,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,05974_Soest,282.19534,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,05978_Unna,282.9942,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,06411_06432_06438_Region_um_Darmstadt,283.06024,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,06411_Darmstadt,283.16995,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,06412_06413_06436_06434_06440_06435_06438_06433_Region_um_Frankfurt_am_Main,282.45328,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,06412_Frankfurt am Main,283.45316,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,06413_06438_06435_06412_Region_um_Offenbach_am_Main,282.36035,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,06413_Offenbach am Main,283.54474,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,06414_07315_07339_06439_06436_06433_Region_um_Wiesbaden,282.73053,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,06414_Wiesbaden,282.77353,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,06431_Bergstraße,282.92822,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,06432_Darmstadt-Dieburg,282.89145,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,06433_Groß-Gerau,283.63342,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,06434_Hochtaunuskreis,281.7508,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,06435_Main-Kinzig-Kreis,281.88315,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,06436_06412_06414_06433_06439_06434_Region_um_Main-Taunus-Kreis,282.48175,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,06436_Main-Taunus-Kreis,282.82434,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,06437_Odenwaldkreis,281.9394,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,06438_06432_06411_06433_06413_06435_06412_09671_Region_um_Offenbach,282.52097,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,06438_Offenbach,283.34714,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,06439_Rheingau-Taunus-Kreis,281.82086,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,06440_Wetteraukreis,282.37814,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,06531_Gießen,282.0498,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,06532_Lahn-Dill-Kreis,281.34686,TG,year,air_temperature,K,7
