realization,region,DSx5_year_ref_time-mean,ci_name,ci_frequency,standard_name,units,mid_month
nan_GERICS_nan_nan_nan_nan_year_DSx5,06413_06438_06435_06412_Region_um_Offenbach_am_Main,21.416088,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,06413_Offenbach am Main,22.856722,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,06414_07315_07339_06439_06436_06433_Region_um_Wiesbaden,22.784426,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,06414_Wiesbaden,22.341806,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,06431_Bergstraße,21.84674,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,06432_Darmstadt-Dieburg,21.630213,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,06433_Groß-Gerau,23.205732,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,06434_Hochtaunuskreis,22.364088,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,06435_Main-Kinzig-Kreis,20.789762,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,06436_06412_06414_06433_06439_06434_Region_um_Main-Taunus-Kreis,22.509827,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,06436_Main-Taunus-Kreis,22.568247,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,06437_Odenwaldkreis,20.980854,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,06438_06432_06411_06433_06413_06435_06412_09671_Region_um_Offenbach,21.538923,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,06438_Offenbach,22.399502,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,06439_Rheingau-Taunus-Kreis,21.99816,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,06440_Wetteraukreis,22.280722,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,06531_Gießen,21.809835,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,06532_Lahn-Dill-Kreis,20.532597,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,06533_Limburg-Weilburg,21.491066,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,06534_Marburg-Biedenkopf,20.646898,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,06535_Vogelsbergkreis,20.119608,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,06611_06633_03159_Region_um_Kassel,19.179258,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,06611_Kassel,20.174717,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,06631_Fulda,19.33809,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,06632_Hersfeld-Rotenburg,19.093544,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,06633_Kassel,19.75825,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,06634_Schwalm-Eder-Kreis,20.287031,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,06635_Waldeck-Frankenberg,19.849174,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,06636_Werra-Meißner-Kreis,18.9433,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,07111_07137_07141_07143_Region_um_Koblenz,20.284477,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,07111_Koblenz,20.427479,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,07131_Ahrweiler,19.68267,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,07132_Altenkirchen (Westerwald),18.758,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,07133_Bad Kreuznach,22.954561,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,07134_Birkenfeld,22.232985,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,07135_Cochem-Zell,21.391401,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,07137_Mayen-Koblenz,20.779558,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,07138_Neuwied,19.115211,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,07140_Rhein-Hunsrück-Kreis,21.659342,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,07141_Rhein-Lahn-Kreis,21.120283,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,07143_Westerwaldkreis,19.201382,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,07211_07235_Region_um_Trier,21.913082,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,07211_Trier,22.040892,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,07231_Bernkastel-Wittlich,21.939016,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,07232_Eifelkreis Bitburg-Prüm,20.881683,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,07233_Vulkaneifel,20.639685,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,07235_Trier-Saarburg,21.898642,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,07311_07318_07314_07338_08222_Region_um_Frankenthal_(Pfalz),22.730446,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,07311_Frankenthal (Pfalz),23.190948,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,07312_07335_07332_Region_um_Kaiserslautern,22.548866,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,07312_Kaiserslautern,22.260921,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,07313_07337_Region_um_Landau_in_der_Pfalz,22.597288,DSx5,year,dry_spell_duration,days,7
