region,DD_sem_4C_rcp85_time-mean_ensemble-diff-min,ci_name,ci_frequency,standard_name,units,mid_month
06437_Odenwaldkreis,-5.820919036865234,DD,sem,days_with_precipitation_amount_below_threshold,days,1
06438_Offenbach,-6.220298767089844,DD,sem,days_with_precipitation_amount_below_threshold,days,1
06439_Rheingau-Taunus-Kreis,-5.172771453857422,DD,sem,days_with_precipitation_amount_below_threshold,days,1
06440_Wetteraukreis,-5.478973388671875,DD,sem,days_with_precipitation_amount_below_threshold,days,1
06531_Gießen,-5.2579803466796875,DD,sem,days_with_precipitation_amount_below_threshold,days,1
06532_Lahn-Dill-Kreis,-5.491786956787109,DD,sem,days_with_precipitation_amount_below_threshold,days,1
06533_Limburg-Weilburg,-5.595165252685547,DD,sem,days_with_precipitation_amount_below_threshold,days,1
06534_Marburg-Biedenkopf,-5.669281005859375,DD,sem,days_with_precipitation_amount_below_threshold,days,1
06535_Vogelsbergkreis,-5.591869354248047,DD,sem,days_with_precipitation_amount_below_threshold,days,1
06611_Kassel,-5.882648468017578,DD,sem,days_with_precipitation_amount_below_threshold,days,1
06631_Fulda,-4.856639862060547,DD,sem,days_with_precipitation_amount_below_threshold,days,1
06632_Hersfeld-Rotenburg,-5.708198547363281,DD,sem,days_with_precipitation_amount_below_threshold,days,1
06633_Kassel,-5.496341705322266,DD,sem,days_with_precipitation_amount_below_threshold,days,1
06634_Schwalm-Eder-Kreis,-5.997215270996094,DD,sem,days_with_precipitation_amount_below_threshold,days,1
06635_Waldeck-Frankenberg,-5.922557830810547,DD,sem,days_with_precipitation_amount_below_threshold,days,1
06636_Werra-Meißner-Kreis,-5.304779052734375,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07111_Koblenz,-6.488670349121094,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07131_Ahrweiler,-5.761119842529297,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07132_Altenkirchen (Westerwald),-4.641063690185547,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07133_Bad Kreuznach,-7.935070037841797,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07134_Birkenfeld,-7.257591247558594,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07135_Cochem-Zell,-6.909816741943359,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07137_Mayen-Koblenz,-6.6315155029296875,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07138_Neuwied,-4.744350433349609,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07140_Rhein-Hunsrück-Kreis,-6.678020477294922,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07141_Rhein-Lahn-Kreis,-5.454204559326172,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07143_Westerwaldkreis,-5.278827667236328,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07211_Trier,-4.868165969848633,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07231_Bernkastel-Wittlich,-5.909473419189453,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07232_Eifelkreis Bitburg-Prüm,-4.826894760131836,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07233_Vulkaneifel,-6.050483703613281,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07235_Trier-Saarburg,-4.97035026550293,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07311_Frankenthal (Pfalz),-7.919933319091797,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07312_Kaiserslautern,-6.3137664794921875,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07313_Landau in der Pfalz,-6.103786468505859,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07314_Ludwigshafen am Rhein,-7.294532775878906,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07315_Mainz,-6.329242706298828,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07316_Neustadt an der Weinstraße,-7.884124755859375,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07317_Pirmasens,-5.701545715332031,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07318_Speyer,-6.745868682861328,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07319_Worms,-7.5830078125,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07320_Zweibrücken,-5.3604888916015625,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07331_Alzey-Worms,-7.947040557861328,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07332_Bad Dürkheim,-7.261966705322266,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07333_Donnersbergkreis,-7.357757568359375,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07334_Germersheim,-6.1639404296875,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07335_Kaiserslautern,-6.041435241699219,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07336_Kusel,-6.486186981201172,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07337_Südliche Weinstraße,-5.919353485107422,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07338_Rhein-Pfalz-Kreis,-7.306182861328125,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07339_Mainz-Bingen,-7.116649627685547,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07340_Südwestpfalz,-5.619205474853516,DD,sem,days_with_precipitation_amount_below_threshold,days,1
08111_Stuttgart,-6.483417510986328,DD,sem,days_with_precipitation_amount_below_threshold,days,1
08115_Böblingen,-8.126472473144531,DD,sem,days_with_precipitation_amount_below_threshold,days,1
08116_Esslingen,-5.111583709716797,DD,sem,days_with_precipitation_amount_below_threshold,days,1
