region,DD_sem_3C_rcp85_time-mean_ensemble-diff-max,ci_name,ci_frequency,standard_name,units,mid_month
07338_Rhein-Pfalz-Kreis,1.2185821533203125,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07339_Mainz-Bingen,1.3174934387207031,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07340_Südwestpfalz,2.6975173950195312,DD,sem,days_with_precipitation_amount_below_threshold,days,1
08111_Stuttgart,2.692028045654297,DD,sem,days_with_precipitation_amount_below_threshold,days,1
08115_Böblingen,3.8637466430664062,DD,sem,days_with_precipitation_amount_below_threshold,days,1
08116_Esslingen,3.2304420471191406,DD,sem,days_with_precipitation_amount_below_threshold,days,1
08117_Göppingen,4.332988739013672,DD,sem,days_with_precipitation_amount_below_threshold,days,1
08118_Ludwigsburg,2.829944610595703,DD,sem,days_with_precipitation_amount_below_threshold,days,1
08119_Rems-Murr-Kreis,2.6594772338867188,DD,sem,days_with_precipitation_amount_below_threshold,days,1
08121_Heilbronn,2.4669761657714844,DD,sem,days_with_precipitation_amount_below_threshold,days,1
08125_Heilbronn,2.5682716369628906,DD,sem,days_with_precipitation_amount_below_threshold,days,1
08126_Hohenlohekreis,2.901165008544922,DD,sem,days_with_precipitation_amount_below_threshold,days,1
08127_Schwäbisch Hall,3.72698974609375,DD,sem,days_with_precipitation_amount_below_threshold,days,1
08128_Main-Tauber-Kreis,3.3695106506347656,DD,sem,days_with_precipitation_amount_below_threshold,days,1
08135_Heidenheim,4.3369903564453125,DD,sem,days_with_precipitation_amount_below_threshold,days,1
08136_Ostalbkreis,4.242771148681641,DD,sem,days_with_precipitation_amount_below_threshold,days,1
08211_Baden-Baden,4.0859527587890625,DD,sem,days_with_precipitation_amount_below_threshold,days,1
08212_Karlsruhe,2.86334228515625,DD,sem,days_with_precipitation_amount_below_threshold,days,1
08215_Karlsruhe,2.3944435119628906,DD,sem,days_with_precipitation_amount_below_threshold,days,1
08216_Rastatt,3.221088409423828,DD,sem,days_with_precipitation_amount_below_threshold,days,1
08221_Heidelberg,2.021587371826172,DD,sem,days_with_precipitation_amount_below_threshold,days,1
08222_Mannheim,1.800140380859375,DD,sem,days_with_precipitation_amount_below_threshold,days,1
08225_Neckar-Odenwald-Kreis,2.8638916015625,DD,sem,days_with_precipitation_amount_below_threshold,days,1
08226_Rhein-Neckar-Kreis,2.1922988891601562,DD,sem,days_with_precipitation_amount_below_threshold,days,1
08231_Pforzheim,3.3863067626953125,DD,sem,days_with_precipitation_amount_below_threshold,days,1
08235_Calw,4.149787902832031,DD,sem,days_with_precipitation_amount_below_threshold,days,1
08236_Enzkreis,3.1544761657714844,DD,sem,days_with_precipitation_amount_below_threshold,days,1
08237_Freudenstadt,4.462177276611328,DD,sem,days_with_precipitation_amount_below_threshold,days,1
08311_Freiburg im Breisgau,3.2421875,DD,sem,days_with_precipitation_amount_below_threshold,days,1
08315_Breisgau-Hochschwarzwald,2.5013351440429688,DD,sem,days_with_precipitation_amount_below_threshold,days,1
08316_Emmendingen,2.2858200073242188,DD,sem,days_with_precipitation_amount_below_threshold,days,1
08317_Ortenaukreis,2.2158584594726562,DD,sem,days_with_precipitation_amount_below_threshold,days,1
08325_Rottweil,3.9204864501953125,DD,sem,days_with_precipitation_amount_below_threshold,days,1
08326_Schwarzwald-Baar-Kreis,4.010246276855469,DD,sem,days_with_precipitation_amount_below_threshold,days,1
08327_Tuttlingen,3.1765823364257812,DD,sem,days_with_precipitation_amount_below_threshold,days,1
08335_Konstanz,3.6252059936523438,DD,sem,days_with_precipitation_amount_below_threshold,days,1
08336_Lörrach,2.8205413818359375,DD,sem,days_with_precipitation_amount_below_threshold,days,1
08337_Waldshut,3.4503021240234375,DD,sem,days_with_precipitation_amount_below_threshold,days,1
08415_Reutlingen,3.844684600830078,DD,sem,days_with_precipitation_amount_below_threshold,days,1
08416_Tübingen,3.689464569091797,DD,sem,days_with_precipitation_amount_below_threshold,days,1
08417_Zollernalbkreis,3.5644874572753906,DD,sem,days_with_precipitation_amount_below_threshold,days,1
08421_Ulm,3.48248291015625,DD,sem,days_with_precipitation_amount_below_threshold,days,1
08425_Alb-Donau-Kreis,3.694744110107422,DD,sem,days_with_precipitation_amount_below_threshold,days,1
08426_Biberach,3.308269500732422,DD,sem,days_with_precipitation_amount_below_threshold,days,1
08435_Bodenseekreis,3.3656578063964844,DD,sem,days_with_precipitation_amount_below_threshold,days,1
