region,ci_name,ci_frequency,standard_name,units,mid_month,DD_sem_3C_rcp85_ensemble-robustness
08215_Karlsruhe,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
08216_Rastatt,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
08221_Heidelberg,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
08222_Mannheim,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
08225_Neckar-Odenwald-Kreis,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
08226_Rhein-Neckar-Kreis,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
08231_Pforzheim,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
08235_Calw,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
08236_Enzkreis,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
08237_Freudenstadt,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
08311_Freiburg im Breisgau,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
08315_Breisgau-Hochschwarzwald,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
08316_Emmendingen,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
08317_Ortenaukreis,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
08325_Rottweil,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
08326_Schwarzwald-Baar-Kreis,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
08327_Tuttlingen,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
08335_Konstanz,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
08336_Lörrach,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
08337_Waldshut,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
08415_Reutlingen,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
08416_Tübingen,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
08417_Zollernalbkreis,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
08421_Ulm,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
08425_Alb-Donau-Kreis,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
08426_Biberach,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
08435_Bodenseekreis,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
08436_Ravensburg,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
08437_Sigmaringen,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
09161_Ingolstadt,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
09162_München,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
09163_Rosenheim,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
09171_Altötting,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
09172_Berchtesgadener Land,DD,sem,days_with_precipitation_amount_below_threshold,days,1,
09173_Bad Tölz-Wolfratshausen,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
09174_Dachau,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
09175_Ebersberg,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
09176_Eichstätt,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
09177_Erding,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
09178_Freising,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
09179_Fürstenfeldbruck,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
09180_Garmisch-Partenkirchen,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
09181_Landsberg am Lech,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
09182_Miesbach,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
09183_Mühldorf a. Inn,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
09184_München,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
09185_Neuburg-Schrobenhausen,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
09186_Pfaffenhofen a.d. Ilm,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
09187_Rosenheim,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
09188_Starnberg,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
09189_Traunstein,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
09190_Weilheim-Schongau,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
09261_Landshut,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
09262_Passau,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
09263_Straubing,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
09271_Deggendorf,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
09272_Freyung-Grafenau,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
09273_Kelheim,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
09274_Landshut,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
09275_Passau,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
09276_Regen,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
09277_Rottal-Inn,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
09278_Straubing-Bogen,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
09279_Dingolfing-Landau,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
09361_Amberg,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
09362_Regensburg,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
09363_Weiden i.d. OPf.,DD,sem,days_with_precipitation_amount_below_threshold,days,1,
09371_Amberg-Sulzbach,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
09372_Cham,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
09373_Neumarkt i.d. OPf.,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
09374_Neustadt a.d. Waldnaab,DD,sem,days_with_precipitation_amount_below_threshold,days,1,
09375_Regensburg,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
09376_Schwandorf,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
09377_Tirschenreuth,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
09461_Bamberg,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
09462_Bayreuth,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
09463_Coburg,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
09464_Hof,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
09471_Bamberg,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
09472_Bayreuth,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
09473_Coburg,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
09474_Forchheim,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
09475_Hof,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
09476_Kronach,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
09477_Kulmbach,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
09478_Lichtenfels,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
09479_Wunsiedel i. Fichtelgebirge,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
09561_Ansbach,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
09562_Erlangen,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
09563_Fürth,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
09564_Nürnberg,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
09565_Schwabach,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
09571_Ansbach,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
09572_Erlangen-Höchstadt,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
09573_Fürth,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
09574_Nürnberger Land,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
09575_Neustadt a.d. Aisch-Bad Windsheim,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
09576_Roth,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
09577_Weißenburg-Gunzenhausen,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
09661_Aschaffenburg,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
09662_Schweinfurt,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
09663_Würzburg,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
09671_Aschaffenburg,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
09672_Bad Kissingen,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
09673_Rhön-Grabfeld,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
09674_Haßberge,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
09675_Kitzingen,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
09676_Miltenberg,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
09677_Main-Spessart,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
09678_Schweinfurt,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
09679_Würzburg,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
09761_Augsburg,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
09762_Kaufbeuren,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
09763_Kempten (Allgäu),DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
09764_Memmingen,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
09771_Aichach-Friedberg,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
09772_Augsburg,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
09773_Dillingen a.d. Donau,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
09774_Günzburg,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
09775_Neu-Ulm,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
09776_Lindau (Bodensee),DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
09777_Ostallgäu,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
09778_Unterallgäu,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
09779_Donau-Ries,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
