region,DD_sem_1.5C_rcp85_time-mean_ensemble-diff-max,ci_name,ci_frequency,standard_name,units,mid_month
08136_Ostalbkreis,6.016803741455078,DD,sem,days_with_precipitation_amount_below_threshold,days,1
08211_Baden-Baden,6.277378082275391,DD,sem,days_with_precipitation_amount_below_threshold,days,1
08212_Karlsruhe,5.779994964599609,DD,sem,days_with_precipitation_amount_below_threshold,days,1
08215_Karlsruhe,5.732658386230469,DD,sem,days_with_precipitation_amount_below_threshold,days,1
08216_Rastatt,5.934444427490234,DD,sem,days_with_precipitation_amount_below_threshold,days,1
08221_Heidelberg,7.2862701416015625,DD,sem,days_with_precipitation_amount_below_threshold,days,1
08222_Mannheim,6.299480438232422,DD,sem,days_with_precipitation_amount_below_threshold,days,1
08225_Neckar-Odenwald-Kreis,6.509674072265625,DD,sem,days_with_precipitation_amount_below_threshold,days,1
08226_Rhein-Neckar-Kreis,6.621105194091797,DD,sem,days_with_precipitation_amount_below_threshold,days,1
08231_Pforzheim,5.719032287597656,DD,sem,days_with_precipitation_amount_below_threshold,days,1
08235_Calw,7.051197052001953,DD,sem,days_with_precipitation_amount_below_threshold,days,1
08236_Enzkreis,5.6593017578125,DD,sem,days_with_precipitation_amount_below_threshold,days,1
08237_Freudenstadt,7.2453460693359375,DD,sem,days_with_precipitation_amount_below_threshold,days,1
08311_Freiburg im Breisgau,7.10076904296875,DD,sem,days_with_precipitation_amount_below_threshold,days,1
08315_Breisgau-Hochschwarzwald,7.450294494628906,DD,sem,days_with_precipitation_amount_below_threshold,days,1
08316_Emmendingen,7.0377960205078125,DD,sem,days_with_precipitation_amount_below_threshold,days,1
08317_Ortenaukreis,6.470829010009766,DD,sem,days_with_precipitation_amount_below_threshold,days,1
08325_Rottweil,7.080814361572266,DD,sem,days_with_precipitation_amount_below_threshold,days,1
08326_Schwarzwald-Baar-Kreis,7.305355072021484,DD,sem,days_with_precipitation_amount_below_threshold,days,1
08327_Tuttlingen,5.958843231201172,DD,sem,days_with_precipitation_amount_below_threshold,days,1
08335_Konstanz,6.071430206298828,DD,sem,days_with_precipitation_amount_below_threshold,days,1
08336_Lörrach,7.483242034912109,DD,sem,days_with_precipitation_amount_below_threshold,days,1
08337_Waldshut,7.399406433105469,DD,sem,days_with_precipitation_amount_below_threshold,days,1
08415_Reutlingen,5.945514678955078,DD,sem,days_with_precipitation_amount_below_threshold,days,1
08416_Tübingen,6.114780426025391,DD,sem,days_with_precipitation_amount_below_threshold,days,1
08417_Zollernalbkreis,6.484867095947266,DD,sem,days_with_precipitation_amount_below_threshold,days,1
08421_Ulm,5.462860107421875,DD,sem,days_with_precipitation_amount_below_threshold,days,1
08425_Alb-Donau-Kreis,5.611614227294922,DD,sem,days_with_precipitation_amount_below_threshold,days,1
08426_Biberach,5.883487701416016,DD,sem,days_with_precipitation_amount_below_threshold,days,1
08435_Bodenseekreis,6.211845397949219,DD,sem,days_with_precipitation_amount_below_threshold,days,1
08436_Ravensburg,6.3096771240234375,DD,sem,days_with_precipitation_amount_below_threshold,days,1
08437_Sigmaringen,6.035297393798828,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09161_Ingolstadt,5.418952941894531,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09162_München,4.629783630371094,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09163_Rosenheim,5.238670349121094,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09171_Altötting,4.451541900634766,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09172_Berchtesgadener Land,5.2084503173828125,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09173_Bad Tölz-Wolfratshausen,5.187389373779297,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09174_Dachau,4.965740203857422,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09175_Ebersberg,4.856281280517578,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09176_Eichstätt,6.319881439208984,DD,sem,days_with_precipitation_amount_below_threshold,days,1
